Member_number,Date,productId,items,productName,price,Category,order_id,gross_sales
1808,2015-07-21,1,3,tropical fruit,7.8,Fresh Food,1,23.4
2552,2015-01-05,2,1,whole milk,1.8,Dairy,2,1.8
2300,2015-09-19,3,3,pip fruit,3.0,Fresh Food,3,9.0
1187,2015-12-12,4,3,other vegetables,0.8,Fresh Food,4,2.4000000000000004
3037,2015-02-01,2,1,whole milk,1.8,Dairy,5,1.8
4941,2015-02-14,5,1,rolls/buns,1.2,Bakery & Sweets,6,1.2
4501,2015-05-08,4,3,other vegetables,0.8,Fresh Food,7,2.4000000000000004
3803,2015-12-23,6,2,pot plants,3.5,Household & Hygiene,8,7.0
2762,2015-03-20,2,3,whole milk,1.8,Dairy,9,5.4
4119,2015-02-12,1,3,tropical fruit,7.8,Fresh Food,10,23.4
1340,2015-02-24,7,3,citrus fruit,1.5,Fresh Food,11,4.5
2193,2015-04-14,8,3,beef,19.5,Fresh Food,12,58.5
1997,2015-07-21,9,1,frankfurter,5.5,Fresh Food,13,5.5
4546,2015-09-03,10,3,chicken,7.2,Fresh Food,14,21.6
4736,2015-07-21,11,2,butter,3.2,Dairy,15,6.4
1959,2015-03-30,12,1,fruit/vegetable juice,2.1,Beverages,16,2.1
1974,2015-05-03,13,2,packaged fruit/vegetables,3.5,Fresh Food,17,7.0
2421,2015-09-02,14,2,chocolate,11.5,Bakery & Sweets,18,23.0
1513,2015-08-03,15,2,specialty bar,5.2,Bakery & Sweets,19,10.4
1905,2015-07-07,4,2,other vegetables,0.8,Fresh Food,20,1.6
2810,2015-09-08,16,1,butter milk,6.1,Dairy,21,6.1
2867,2015-11-12,2,1,whole milk,1.8,Dairy,22,1.8
3962,2015-09-18,1,2,tropical fruit,7.8,Fresh Food,23,15.6
1088,2015-11-30,1,2,tropical fruit,7.8,Fresh Food,24,15.6
4976,2015-07-17,17,1,bottled water,0.5,Beverages,25,0.5
4056,2015-06-12,18,1,yogurt,2.2,Dairy,26,2.2
3611,2015-02-13,19,1,sausage,3.1,Fresh Food,27,3.1
1420,2015-01-14,4,3,other vegetables,0.8,Fresh Food,28,2.4000000000000004
4286,2015-03-08,20,3,brown bread,0.8,Bakery & Sweets,29,2.4000000000000004
4918,2015-01-27,18,3,yogurt,2.2,Dairy,30,6.6000000000000005
4783,2015-10-22,21,2,hamburger meat,12.3,Fresh Food,31,24.6
3709,2015-10-26,22,3,root vegetables,1.8,Fresh Food,32,5.4
4289,2015-10-08,23,2,pork,7.2,Fresh Food,33,14.4
1559,2015-10-03,8,2,beef,19.5,Fresh Food,34,39.0
2900,2015-04-11,24,3,pastry,3.1,Bakery & Sweets,35,9.3
1905,2015-02-21,12,2,fruit/vegetable juice,2.1,Beverages,36,4.2
3527,2015-09-29,25,3,canned beer,1.1,Beverages,37,3.3000000000000003
1495,2015-01-09,22,3,root vegetables,1.8,Fresh Food,38,5.4
3558,2015-04-03,7,1,citrus fruit,1.5,Fresh Food,39,1.5
3128,2015-04-20,19,3,sausage,3.1,Fresh Food,40,9.3
1863,2015-08-04,1,1,tropical fruit,7.8,Fresh Food,41,7.8
3841,2015-07-19,26,3,berries,10.8,Fresh Food,42,32.400000000000006
3903,2015-10-06,25,3,canned beer,1.1,Beverages,43,3.3000000000000003
2658,2015-10-16,16,1,butter milk,6.1,Dairy,44,6.1
4272,2015-06-06,27,1,coffee,8.5,Beverages,45,8.5
1120,2015-09-26,24,3,pastry,3.1,Bakery & Sweets,46,9.3
2676,2015-08-15,5,2,rolls/buns,1.2,Bakery & Sweets,47,2.4
1697,2015-05-21,28,1,misc. beverages,1.2,Beverages,48,1.2
2507,2015-08-25,22,2,root vegetables,1.8,Fresh Food,49,3.6
4620,2015-03-11,19,2,sausage,3.1,Fresh Food,50,6.2
3365,2015-02-01,25,2,canned beer,1.1,Beverages,51,2.2
2978,2015-06-05,29,1,ham,15.2,Fresh Food,52,15.2
2910,2015-07-28,30,2,turkey,12.5,Fresh Food,53,25.0
1061,2015-09-05,2,1,whole milk,1.8,Dairy,54,1.8
3276,2015-04-03,2,2,whole milk,1.8,Dairy,55,3.6
1326,2015-06-19,13,3,packaged fruit/vegetables,3.5,Fresh Food,56,10.5
3023,2015-07-28,5,3,rolls/buns,1.2,Bakery & Sweets,57,3.5999999999999996
2185,2015-10-11,29,1,ham,15.2,Fresh Food,58,15.2
3552,2015-06-16,5,3,rolls/buns,1.2,Bakery & Sweets,59,3.5999999999999996
1967,2015-01-20,4,3,other vegetables,0.8,Fresh Food,60,2.4000000000000004
4708,2015-03-20,19,2,sausage,3.1,Fresh Food,61,6.2
2874,2015-02-15,19,1,sausage,3.1,Fresh Food,62,3.1
4177,2015-04-13,9,2,frankfurter,5.5,Fresh Food,63,11.0
1663,2015-02-07,5,2,rolls/buns,1.2,Bakery & Sweets,64,2.4
2632,2015-03-02,2,2,whole milk,1.8,Dairy,65,3.6
1377,2015-03-14,31,2,curd cheese,9.2,Dairy,66,18.4
4162,2015-12-22,32,2,red/blush wine,12.2,Beverages,67,24.4
2270,2015-07-01,19,2,sausage,3.1,Fresh Food,68,6.2
4829,2015-11-03,1,2,tropical fruit,7.8,Fresh Food,69,15.6
3811,2015-04-14,32,1,red/blush wine,12.2,Beverages,70,12.2
4766,2015-09-29,2,3,whole milk,1.8,Dairy,71,5.4
2436,2015-04-12,9,2,frankfurter,5.5,Fresh Food,72,11.0
3860,2015-05-05,2,2,whole milk,1.8,Dairy,73,3.6
4875,2015-05-12,33,2,frozen potato products,3.0,Frozen & Processed Food,74,6.0
1587,2015-07-01,4,2,other vegetables,0.8,Fresh Food,75,1.6
4038,2015-07-08,7,2,citrus fruit,1.5,Fresh Food,76,3.0
4750,2015-09-21,34,2,flour,2.1,Pantry Staples,77,4.2
1199,2015-12-10,35,3,sugar,1.2,Bakery & Sweets,78,3.5999999999999996
1603,2015-09-30,36,3,frozen meals,9.7,Frozen & Processed Food,79,29.099999999999998
3111,2015-01-31,14,2,chocolate,11.5,Bakery & Sweets,80,23.0
3894,2015-12-13,22,3,root vegetables,1.8,Fresh Food,81,5.4
1456,2015-09-18,22,1,root vegetables,1.8,Fresh Food,82,1.8
2022,2015-03-04,37,2,herbs,6.5,Fresh Food,83,13.0
2505,2015-11-30,17,1,bottled water,0.5,Beverages,84,0.5
4851,2015-12-20,19,1,sausage,3.1,Fresh Food,85,3.1
4293,2015-08-04,27,2,coffee,8.5,Beverages,86,17.0
2775,2015-11-06,23,3,pork,7.2,Fresh Food,87,21.6
3693,2015-02-18,26,1,berries,10.8,Fresh Food,88,10.8
1202,2015-07-22,38,2,soda,0.8,Beverages,89,1.6
3699,2015-08-23,26,1,berries,10.8,Fresh Food,90,10.8
4152,2015-04-15,12,1,fruit/vegetable juice,2.1,Beverages,91,2.1
4155,2015-01-26,7,1,citrus fruit,1.5,Fresh Food,92,1.5
4010,2015-12-29,23,1,pork,7.2,Fresh Food,93,7.2
4389,2015-10-20,39,3,detergent,5.5,Household & Hygiene,94,16.5
3746,2015-08-17,40,1,grapes,9.4,Fresh Food,95,9.4
2560,2015-05-17,19,1,sausage,3.1,Fresh Food,96,3.1
1503,2015-07-25,10,1,chicken,7.2,Fresh Food,97,7.2
2555,2015-12-23,2,3,whole milk,1.8,Dairy,98,5.4
3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food,99,1.5
3886,2015-09-11,38,1,soda,0.8,Beverages,100,0.8
2932,2015-03-20,19,3,sausage,3.1,Fresh Food,101,9.3
1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food,102,16.5
4291,2015-12-08,19,3,sausage,3.1,Fresh Food,103,9.3
1143,2015-04-25,38,1,soda,0.8,Beverages,104,0.8
4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets,105,3.5999999999999996
3337,2015-05-14,8,3,beef,19.5,Fresh Food,106,58.5
4931,2015-05-04,2,1,whole milk,1.8,Dairy,107,1.8
2623,2015-10-10,41,3,processed cheese,6.4,Dairy,108,19.200000000000003
4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food,109,7.8
2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food,110,11.0
1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,111,10.5
2990,2015-05-23,2,2,whole milk,1.8,Dairy,112,3.6
2426,2015-06-05,26,1,berries,10.8,Fresh Food,113,10.8
4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food,114,4.5
3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food,115,7.8
3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food,116,24.6
4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food,117,12.3
1306,2015-06-23,2,3,whole milk,1.8,Dairy,118,5.4
1024,2015-08-10,42,3,fish,10.2,Fresh Food,119,30.599999999999998
1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food,120,11.0
1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food,121,3.5
4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets,122,9.3
3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food,123,1.6
3915,2015-05-21,28,3,misc. beverages,1.2,Beverages,124,3.5999999999999996
1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food,125,16.5
4828,2015-08-08,43,1,sparkling wine,12.5,Beverages,126,12.5
3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets,127,15.600000000000001
1971,2015-09-18,19,1,sausage,3.1,Fresh Food,128,3.1
3014,2015-11-11,31,3,curd cheese,9.2,Dairy,129,27.599999999999998
3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food,130,11.0
2489,2015-05-04,2,3,whole milk,1.8,Dairy,131,5.4
3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal,132,3.2
4092,2015-09-30,26,1,berries,10.8,Fresh Food,133,10.8
3221,2015-01-13,45,2,curd,9.8,Dairy,134,19.6
1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food,135,23.4
2581,2015-08-22,38,3,soda,0.8,Beverages,136,2.4000000000000004
